University_id,F_name,L_name,Gender,Perf_name,Email,Password
1,Jake,Miller,M,Jake,jake.miller@bradley.edu,30hZrnkP_2O!
2,Ann,Henderson,F,Ann,ann.henderson@bradley.edu,1#M0t7Gp%)oX
3,Michelle,Green,F,Michelle,michelle.green@bradley.edu,@S_KHJHg304V
4,John,Jones,M,John,john.jones@bradley.edu,E@0GI2Wx*mh1
5,Kevin,Castro,M,Kevin,kevin.castro@bradley.edu,g3ZCq+iAq9l!
6,Zachary,Dupree,M,Zack,zdupree@bradley.edu,Er2UWQHj(dQz
7,Renee,Bilsborough,F,Renee,rbilsborough@bradley.edu,J(lI3Lpaew6h
8,Connor,Sharp,M,Connor,csharp@bradley.edu,jF3Igai4t$*S
9,John Paul,Fairbanks,M,John,jfairbainks@bradley.edu,!jqWb!@qop3l
10,Heather,Sparks,F,Heather,heather.sparks@bradley.edu,Oo)0q9U#%LTA
11,Suzanne,Rojas,F,Suzanne,suzanne.rojas@bradley.edu,^Y1y+k4tdCCL
12,Dorothy,White,F,Dorothy,dorothy.white@bradley.edu,$z4rgnVhV9pA
13,Michelle,Adams,F,Michelle,michelle.adams@bradley.edu,(h43P_un5nR3
14,Francis,Benson,M,Francis,francis.benson@bradley.edu,^YCkOMpq5Xo1
15,Kimberly,Wong,F,Kimberly,kimberly.wong@bradley.edu,A%CuGq16#l3_
16,Julia,Berry,F,Julia,julia.berry@bradley.edu,C9OZhtpg(@28
17,Joann,Dean,F,Joann,joann.dean@bradley.edu,(OO5XYAtg7r7
18,Julian,Weaver,M,Julian,julian.weaver@bradley.edu,m7+U5Mq90+tn
19,Todd,Burton,M,Todd,todd.burton@bradley.edu,F^l9RVu)4myf
20,Michael,Robinson,M,Michael,michael.robinson@bradley.edu,#poxEOwx%M10
21,Andrew,Walsh,M,Andrew,andrew.walsh@bradley.edu,@wyVJHj!A2Pu
22,Abigail,Mitchell,F,Abigail,abigail.mitchell@bradley.edu,q*0Me0Qq_6!C
23,Jennifer,Lamb,F,Jennifer,jennifer.lamb@bradley.edu,5i&95Jdn(Kbr
24,Ian,Thompson,M,Ian,ian.thompson@bradley.edu,@r!H6^!r2*r4
25,Aaron,Freeman,M,Aaron,aaron.freeman@bradley.edu,^fOqipsvO4BR
26,Lauren,Morales,F,Lauren,lauren.morales@bradley.edu,ofwvBJsz_e%7
27,Karen,Bernard,F,Karen,karen.bernard@bradley.edu,5+o94)QxfIO5
28,Martha,Andrade,F,Martha,martha.andrade@bradley.edu,4_HgdV@21$3F
29,Chad,Collins,M,Chad,chad.collins@bradley.edu,^4Gq)pb+@S5C
