University_id,F_name,L_name,Gender,Perf_name,Email,Password
1,Nicole,Alexander,F,Nicole,nicole.alexander@example.edu,@8!FC%diZ9Nb
2,Ariana,Parrish,F,Ariana,ariana.parrish@example.edu,A#2AfDG4d@k5
3,Angela,Dixon,F,Angela,angela.dixon@example.edu,n)15M^Izml+i
4,Stacey,Perkins,F,Stacey,stacey.perkins@example.edu,Qna632oV#0KD
5,Maria,Winters,F,Maria,maria.winters@example.edu,F#A(G$v$Xo1^
6,Dorothy,Pope,F,Dorothy,dorothy.pope@example.edu,#7t$2Go7O0$^
7,Angel,Jones,M,Angel,angel.jones@example.edu,(0LDg)6mQ###
8,James,Parker,M,James,james.parker@example.edu,Y$10tKziMd#F
9,Janice,Caldwell,F,Janice,janice.caldwell@example.edu,wX12s219(^mZ
10,Michael,Pearson,M,Michael,michael.pearson@example.edu,fc&74Guz2Xau
11,Sandra,Delgado,F,Sandra,sandra.delgado@example.edu,+HRmFg*Q8i5^
12,Erica,Hensley,F,Erica,erica.hensley@example.edu,%1AVG2bl&7GK
13,Kristen,Liu,F,Kristen,kristen.liu@example.edu,$6hX)2Pc+JFQ
14,John,Patterson,M,John,john.patterson@example.edu,rx@4AZMna5f9
15,Roberto,Bell,M,Roberto,roberto.bell@example.edu,3En4WKrGbb_U
16,Norma,Thomas,F,Norma,norma.thomas@example.edu,#8NhLPbf)CX!
17,Cynthia,Pittman,F,Cynthia,cynthia.pittman@example.edu,8v4KSMcdH@y#
18,Lisa,Richards,F,Lisa,lisa.richards@example.edu,pC!h6_!t@6wJ
19,Robert,Logan,M,Robert,robert.logan@example.edu,S)HE_g6Buc0y
20,Michael,Malone,M,Michael,michael.malone@example.edu,)mjHW!(7n4LB
21,Teresa,Lyons,F,Teresa,teresa.lyons@example.edu,()WQztpA^9u+
22,Bonnie,Wang,F,Bonnie,bonnie.wang@example.edu,V1rgrTGr%(BX
23,Wesley,Price,M,Wesley,wesley.price@example.edu,_^BRnKks9uxz
24,Kayla,Banks,F,Kayla,kayla.banks@example.edu,J3Rq$&wLW7j#
25,Melissa,Sutton,F,Melissa,melissa.sutton@example.edu,j5__Smn++R4_
26,Betty,Barrera,F,Betty,betty.barrera@example.edu,A5!kIY#boAU_
27,Mark,Sanders,M,Mark,mark.sanders@example.edu,&xVPBh9eDE6E
28,Kevin,Davis,M,Kevin,kevin.davis@example.edu,^+Y!5ql45odY
29,Anthony,Thomas,M,Anthony,anthony.thomas@example.edu,o26Asmo^nRO&
30,Brian,Hernandez,M,Brian,brian.hernandez@example.edu,o3UnH*^c_KEZ
